category,price,rating,stock,Discount,status
,6442,,In Stock,34,Inactive
B,7624,,,5,Active
B,4061,2.88285833,In Stock,28,Inactive
,190,,In Stock,0,Active
,4643,3.193527429,In Stock,4,Active
,5219,,Out of Stock,49,Inactive
,1197,1.30071938,Out of Stock,,Active
B,8205,4.755317545,Out of Stock,35,Active
,3125,3.295946652,,,Active
D,7239,3.610394007,In Stock,48,Inactive
,262,,In Stock,36,Inactive
,7826,3.576635436,In Stock,6,Active
,8532,4.630347071,In Stock,42,Inactive
D,4625,1.718143164,In Stock,36,Active
,4668,1.761383383,,23,Inactive
A,5268,,,48,Inactive
C,249,2.080916746,,15,Active
,5908,,In Stock,42,Inactive
B,9697,,,26,Active
B,8458,,In Stock,18,Active
,4741,,,27,Active
A,6943,,,42,Active
,,,,11,Inactive
,758,1.249497755,In Stock,28,Active
,3169,2.619334913,In Stock,25,Inactive
C,7953,1.572071266,In Stock,39,Inactive
,8793,3.006402453,Out of Stock,6,Active
D,9114,,In Stock,27,Inactive
,8893,2.519350543,In Stock,,Active
A,8713,2.380993261,,30,Active
A,1269,,In Stock,38,Active
,8069,,In Stock,31,Inactive
D,6751,2.337782569,,2,Active
C,4970,2.365565207,,5,Inactive
,2323,,,,Inactive
,,,,0,Inactive
A,5515,4.709545,Out of Stock,,Inactive
,8846,1.364083153,,4,Inactive
,2584,,Out of Stock,1,Active
C,7911,2.76573862,Out of Stock,37,Active
D,6799,,Out of Stock,29,Inactive
,4620,4.340548432,,10,Inactive
,9424,1.076073768,Out of Stock,,Active
,8409,1.696635602,Out of Stock,29,Active
,9063,3.62453068,Out of Stock,,Active
,8405,1.218936274,In Stock,48,Inactive
,8070,4.220245877,,20,Active
D,7564,2.576792877,In Stock,35,Inactive
D,8555,2.381393348,Out of Stock,22,Inactive
,1870,,In Stock,32,Active
,6864,2.89348282,,10,Active
C,439,2.364554355,In Stock,0,Inactive
A,1425,1.80376013,In Stock,15,Active
,1612,3.032991896,In Stock,16,Active
,1894,2.329488148,Out of Stock,,Active
,8975,4.469736334,Out of Stock,32,Inactive
,807,,,13,Inactive
C,2297,,Out of Stock,21,Inactive
,7800,,,5,Active
B,1493,3.383623675,Out of Stock,45,Active
,2602,,In Stock,0,Active
D,5381,4.767811269,Out of Stock,10,Inactive
B,5429,1.746249652,In Stock,6,Inactive
,734,,,10,Inactive
B,3365,4.175149078,In Stock,29,Active
D,9318,3.319298849,,18,Inactive
,5220,,In Stock,0,Inactive
,381,3.093285397,In Stock,17,Active
,8707,,Out of Stock,39,Inactive
,3604,,In Stock,17,Active
,5078,4.391163208,Out of Stock,6,Inactive
,8070,,In Stock,28,Active
C,721,,,,Inactive
,6921,,Out of Stock,37,Inactive
D,2622,,,22,Active
C,7231,,,6,Inactive
,340,,Out of Stock,27,Active
C,9212,,In Stock,0,Inactive
C,6472,,,27,Active
,3978,,Out of Stock,19,Inactive
,5746,,Out of Stock,2,Active
,3956,3.455945237,,23,Active
D,8757,,In Stock,49,Active
,2820,3.088923747,,21,Active
D,2001,,Out of Stock,23,Active
,412,3.760118968,Out of Stock,21,Inactive
,6675,,,43,Inactive
A,4317,,Out of Stock,13,Active
C,8507,4.575949016,Out of Stock,41,Inactive
,6784,2.087959114,Out of Stock,13,Inactive
,7635,,Out of Stock,5,Active
,9529,1.460956388,In Stock,31,Active
,1595,1.306888079,,37,Active
,5669,,Out of Stock,38,Inactive
,5861,1.470392122,Out of Stock,40,Inactive
,2349,,Out of Stock,48,Active
,5766,,Out of Stock,3,Inactive
,7362,,Out of Stock,33,Inactive
,3256,2.771753929,In Stock,45,Inactive
,9284,,Out of Stock,45,Active
C,8597,3.517120302,In Stock,23,Active
C,4405,1.102682255,,33,Inactive
C,2117,,,45,Active
A,8642,,In Stock,43,Inactive
C,,,Out of Stock,3,Active
A,6022,,In Stock,48,Active
,8132,2.765849835,In Stock,15,Active
,3170,2.198862485,In Stock,18,Active
C,2608,1.873083818,In Stock,8,Active
,9544,1.508629504,In Stock,47,Inactive
,6220,1.410986435,,32,Inactive
,1959,4.96277529,Out of Stock,45,Inactive
A,1403,,,,Inactive
,3713,,Out of Stock,32,Inactive
,6148,,,3,Inactive
,3862,3.813108432,,22,Active
D,9438,3.69118375,Out of Stock,36,Inactive
B,395,,In Stock,24,Active
,6080,4.132381742,Out of Stock,18,Active
C,5296,2.741556903,Out of Stock,34,Active
,5348,1.587225808,Out of Stock,31,Active
,6248,2.88913025,,39,Inactive
,8369,1.774151571,In Stock,44,Inactive
,3155,2.756254196,In Stock,6,Active
,2539,,,9,Inactive
,3112,,Out of Stock,16,Active
D,2489,4.668760788,In Stock,42,Inactive
,5533,,In Stock,34,Active
,8603,1.895138279,Out of Stock,35,Inactive
,6989,,Out of Stock,10,Inactive
D,3064,1.783514836,Out of Stock,22,Inactive
,176,,Out of Stock,33,Inactive
,8159,3.09958404,Out of Stock,31,Active
A,5080,2.117221312,Out of Stock,1,Inactive
,5642,,,28,Active
,7027,1.815593804,In Stock,,Active
,8407,1.13401815,Out of Stock,38,Inactive
,878,,,41,Inactive
,2546,1.158313467,Out of Stock,34,Inactive
,9537,,Out of Stock,25,Active
,9600,3.316477941,In Stock,32,Inactive
,7194,3.329432651,,38,Inactive
,6968,3.739367233,,,Inactive
C,6292,1.155726981,Out of Stock,17,Inactive
C,4870,,Out of Stock,14,Inactive
,6737,,,38,Inactive
,250,1.436882566,In Stock,30,Inactive
C,,3.42631698,,7,Active
,312,1.537020149,,39,Active
D,8394,1.818813296,Out of Stock,22,Inactive
,1421,4.23336229,,,Inactive
,8693,3.186790809,In Stock,24,Active
,2846,3.64085803,,6,Active
,3671,,,47,Inactive
C,766,3.457552836,,19,Inactive
,615,,Out of Stock,2,Inactive
,4309,,Out of Stock,17,Inactive
,2947,1.093895333,Out of Stock,,Inactive
,2841,2.510971236,In Stock,40,Active
B,3923,1.475052808,In Stock,10,Inactive
,5658,3.963020663,In Stock,29,Active
,6759,,Out of Stock,35,Active
,685,,Out of Stock,24,Inactive
,5206,,,35,Inactive
,5814,4.155485925,Out of Stock,12,Inactive
,1419,2.375571908,,1,Active
A,6016,1.844219155,In Stock,1,Active
,5961,,In Stock,18,Active
,9489,,In Stock,5,Active
,1558,,,12,Active
,3892,1.980228881,In Stock,6,Active
,6904,,Out of Stock,36,Active
,663,3.084386434,Out of Stock,5,Active
A,1910,4.817531509,In Stock,,Active
,2804,1.354193998,Out of Stock,35,Inactive
D,8625,4.025419857,,36,Active
,8800,4.36678652,Out of Stock,26,Active
,3689,,Out of Stock,3,Inactive
A,6869,3.010511246,Out of Stock,49,Active
,3601,,In Stock,22,Inactive
,6657,,,47,Inactive
C,,,Out of Stock,35,Inactive
D,5146,,In Stock,10,Active
B,4242,3.993229234,Out of Stock,47,Inactive
,7098,1.301853306,,23,Active
A,3348,,In Stock,16,Active
,4592,,Out of Stock,25,Active
A,7005,,,22,Active
A,5074,,Out of Stock,41,Inactive
A,9602,,,31,Inactive
,3742,4.209122066,In Stock,19,Active
D,454,,Out of Stock,32,Active
,4903,4.615306042,,39,Inactive
,9658,,Out of Stock,15,Inactive
,4198,,Out of Stock,29,Active
A,6336,3.648349511,In Stock,11,Active
,9794,4.43355968,In Stock,39,Inactive
D,2201,,In Stock,25,Inactive
,5323,,Out of Stock,16,Active
A,9152,4.768849527,Out of Stock,11,Active
,5420,,Out of Stock,21,Active
D,4763,,Out of Stock,11,Active
,247,,In Stock,,Active
,2060,4.743226108,Out of Stock,,Active
A,3372,,In Stock,5,Inactive
D,8544,,,29,Inactive
,,,,47,Active
,3299,3.00489845,Out of Stock,32,Inactive
,2107,,Out of Stock,11,Inactive
C,6765,3.4017721,,35,Active
,1853,,Out of Stock,11,Active
C,8773,3.892084161,Out of Stock,,Active
,6671,,,30,Active
C,8398,3.407813915,Out of Stock,4,Inactive
D,8742,,,4,Inactive
,8334,2.562769446,In Stock,16,Active
B,2790,,In Stock,,Active
B,6781,,Out of Stock,21,Active
,1215,2.382519172,In Stock,30,Active
A,,,In Stock,14,Active
,8857,,In Stock,15,Inactive
D,2882,3.691887481,Out of Stock,,Inactive
,6234,,In Stock,28,Active
,1214,1.488996797,In Stock,4,Active
A,6991,1.099149137,In Stock,21,Active
,3364,,Out of Stock,3,Active
,8785,1.23113598,Out of Stock,11,Active
,7313,,Out of Stock,1,Active
,9999,1.834954053,,30,Active
,8760,,In Stock,49,Inactive
B,7933,,In Stock,36,Active
,6092,2.596015228,Out of Stock,39,Inactive
,5178,3.335105401,In Stock,20,Active
,8863,,Out of Stock,,Active
D,8514,4.704094089,Out of Stock,46,Active
A,7939,1.820137988,Out of Stock,48,Inactive
A,1439,1.499808924,In Stock,28,Active
,6981,,Out of Stock,24,Inactive
,7682,2.309511396,Out of Stock,22,Active
,5937,,In Stock,,Active
A,185,,Out of Stock,9,Inactive
,5796,,In Stock,44,Inactive
,3646,,Out of Stock,33,Active
,6547,3.590183981,,6,Active
,1523,1.246447334,Out of Stock,22,Active
,9483,2.823328922,In Stock,,Active
,9045,,,39,Inactive
,7897,,In Stock,27,Active
C,7384,,Out of Stock,24,Active
A,597,,Out of Stock,40,Inactive
,6194,3.223523934,In Stock,14,Inactive
,1454,,In Stock,37,Active
,8628,,,14,Inactive
D,,,In Stock,43,Inactive
,1401,,In Stock,,Inactive
,9590,,In Stock,41,Active
,4467,,In Stock,0,Inactive
,8003,1.27196341,Out of Stock,5,Inactive
,5934,,In Stock,18,Inactive
,2861,4.204148109,,,Active
,5376,1.72914477,,8,Inactive
,4887,,,23,Active
,3204,3.085218314,In Stock,35,Inactive
,8557,,Out of Stock,10,Active
D,3152,1.574379971,In Stock,6,Active
,1386,,In Stock,23,Active
D,6728,,In Stock,39,Inactive
,2194,1.064226126,Out of Stock,22,Inactive
,7452,,In Stock,14,Active
,5192,1.664111382,Out of Stock,,Inactive
,9782,2.471080862,In Stock,,Inactive
,7433,,,12,Active
,5036,,Out of Stock,,Active
,4740,,Out of Stock,42,Active
D,1263,,In Stock,,Inactive
D,8357,1.757112961,In Stock,37,Inactive
C,4883,3.356603182,In Stock,20,Active
C,8437,3.876005948,Out of Stock,21,Active
,3543,3.545775899,In Stock,6,Active
C,6441,,In Stock,0,Inactive
A,8882,,In Stock,28,Active
D,731,,In Stock,16,Inactive
B,9812,3.759160335,In Stock,25,Inactive
,7728,3.422209755,In Stock,45,Inactive
D,1824,1.090942422,In Stock,3,Active
,3447,,Out of Stock,45,Active
,7622,2.701567655,In Stock,15,Active
B,3420,1.184857146,In Stock,19,Active
B,8741,3.932441094,Out of Stock,,Inactive
,3074,,,3,Active
,,1.121555883,,32,Active
A,3745,4.205694491,In Stock,9,Active
,3042,,Out of Stock,16,Inactive
,2400,1.381172582,Out of Stock,34,Inactive
C,4096,,In Stock,42,Active
,4157,,Out of Stock,30,Active
,5339,,Out of Stock,39,Inactive
D,4602,,Out of Stock,17,Active
D,1966,4.343531411,In Stock,4,Inactive
D,7406,3.664133949,In Stock,,Inactive
,2708,4.139442601,In Stock,44,Inactive
,,1.065801831,In Stock,7,Active
D,1222,,Out of Stock,49,Active
B,3681,,Out of Stock,8,Active
,8110,,,48,Active
D,9430,1.948900071,In Stock,15,Inactive
A,1328,,Out of Stock,30,Inactive
C,6185,4.989849875,Out of Stock,39,Inactive
,5541,,In Stock,7,Inactive
,9933,,Out of Stock,40,Inactive
C,3528,4.685441757,,,Active
,4323,,Out of Stock,45,Active
,1421,1.901802966,,49,Inactive
,8414,,,24,Active
,575,3.180869426,In Stock,40,Inactive
,5611,,Out of Stock,33,Inactive
D,3767,,Out of Stock,33,Active
D,9988,1.906103855,,,Active
,5666,2.836677187,In Stock,49,Active
,9959,4.622992545,,46,Inactive
,8091,2.238475112,,47,Inactive
A,7967,3.715056819,In Stock,42,Active
,1011,3.15051958,Out of Stock,10,Inactive
A,2593,1.145519882,,43,Active
,9961,2.60381616,,,Inactive
D,9227,2.25204924,,9,Active
B,7307,,,36,Inactive
,5364,,In Stock,29,Active
,1838,3.381167573,Out of Stock,18,Inactive
,,3.185219381,In Stock,21,Active
B,2997,1.190652467,In Stock,16,Inactive
,2531,4.923267636,,30,Inactive
,2437,4.981286012,In Stock,,Active
C,3034,3.769339664,Out of Stock,11,Active
B,4573,1.823093667,In Stock,5,Active
C,2466,2.521499444,In Stock,44,Inactive
B,2242,,In Stock,13,Inactive
,7805,,,20,Active
,2527,4.841731762,Out of Stock,49,Inactive
,1378,,In Stock,44,Inactive
,6905,,,35,Inactive
,4960,3.991063665,Out of Stock,31,Active
,5019,,Out of Stock,17,Active
,8568,2.269634938,In Stock,15,Inactive
,7198,,,18,Active
B,4905,,Out of Stock,23,Active
,9922,4.96669598,In Stock,42,Inactive
,2774,,,0,Active
A,4519,4.487539499,In Stock,39,Active
,7967,,In Stock,13,Inactive
,6551,,,28,Active
C,3831,3.971501091,,19,Active
C,2740,,In Stock,0,Active
C,9069,,In Stock,28,Inactive
,743,3.266645301,In Stock,,Active
,,,,,Active
A,8725,3.855020977,,9,Inactive
B,6703,,In Stock,9,Inactive
,,1.802828523,Out of Stock,19,Active
,7842,3.587589046,In Stock,16,Active
A,6161,2.01289795,Out of Stock,18,Inactive
C,6083,2.233474516,Out of Stock,36,Active
,7025,4.430414663,,25,Active
,276,3.447754406,,3,Inactive
,4369,4.083849652,Out of Stock,8,Inactive
,6546,,In Stock,49,Active
,2810,2.912595366,In Stock,47,Active
,5181,,In Stock,44,Active
A,6848,4.92754188,Out of Stock,26,Active
,968,1.046048972,In Stock,42,Active
D,1999,3.613690763,Out of Stock,20,Active
B,7902,1.739979408,,44,Inactive
C,5369,,,29,Active
A,1138,4.743874686,In Stock,4,Active
,9151,1.225874172,In Stock,18,Inactive
,1351,2.739138172,In Stock,3,Inactive
,3016,1.246998966,,1,Active
C,1132,2.043756276,Out of Stock,12,Active
,4874,,In Stock,20,Inactive
D,,4.019948636,Out of Stock,5,Active
,1112,,Out of Stock,1,Inactive
,7446,,In Stock,42,Active
,4877,,In Stock,30,Active
A,7769,,,45,Inactive
A,4347,4.900050372,,25,Inactive
,5350,,Out of Stock,27,Active
C,3150,,,7,Active
C,7050,,In Stock,37,Active
B,6363,3.74076211,Out of Stock,13,Inactive
,7639,,Out of Stock,33,Inactive
B,1570,3.901696196,,39,Active
C,3725,3.971817822,,8,Active
,1253,,In Stock,24,Inactive
,4657,,In Stock,30,Inactive
,5411,,Out of Stock,,Inactive
,3130,,In Stock,3,Inactive
D,4062,3.519621107,Out of Stock,,Inactive
B,8524,,,5,Inactive
,8290,,In Stock,,Inactive
,4264,3.909681734,In Stock,3,Active
,3030,4.987106105,Out of Stock,37,Active
,105,1.56339958,Out of Stock,31,Inactive
,4951,,,41,Active
,9551,,Out of Stock,4,Active
B,8084,,,24,Active
,9269,,Out of Stock,10,Inactive
,9928,,In Stock,27,Active
,7405,,In Stock,31,Active
,4552,1.764918317,Out of Stock,28,Active
,9251,,Out of Stock,19,Active
D,4983,4.27248989,,7,Inactive
,9159,4.059865053,Out of Stock,9,Inactive
,3652,3.559027854,In Stock,24,Inactive
,7022,1.51632024,Out of Stock,14,Inactive
D,547,1.47609924,In Stock,15,Active
,7669,,,42,Active
,5107,,In Stock,17,Active
,6717,4.740635466,In Stock,20,Active
,3245,4.319033347,Out of Stock,14,Inactive
,5577,4.163708035,,43,Active
,7120,3.453084548,Out of Stock,33,Inactive
A,,,In Stock,18,Active
D,6841,1.983767141,Out of Stock,28,Inactive
B,5059,,Out of Stock,16,Active
B,5194,3.016283432,Out of Stock,12,Inactive
,1656,2.058124524,,6,Active
,2876,3.180535028,,24,Inactive
,2904,3.736084141,,43,Inactive
,8144,,In Stock,18,Inactive
,9151,,,27,Inactive
,8378,1.093233748,Out of Stock,35,Inactive
B,6686,3.447834819,,49,Active
B,7901,3.881902706,In Stock,31,Inactive
A,7316,1.143166819,In Stock,0,Inactive
,3029,,Out of Stock,,Active
,2197,1.770328026,Out of Stock,30,Active
A,2030,,Out of Stock,,Inactive
,,,In Stock,44,Active
,9213,,Out of Stock,47,Active
,1422,2.226139979,Out of Stock,28,Active
,2691,,,48,Active
,1258,2.581632086,In Stock,29,Active
,8763,4.802447805,Out of Stock,11,Inactive
,6433,1.790422154,In Stock,,Active
,7440,,Out of Stock,25,Active
A,,2.726068144,Out of Stock,34,Inactive
,7003,,In Stock,3,Inactive
,7088,4.278213986,Out of Stock,26,Inactive
A,1578,,,,Active
D,565,1.614622863,,49,Inactive
,2723,,In Stock,44,Inactive
,3928,,In Stock,9,Active
,4732,,Out of Stock,45,Inactive
,3521,,,33,Active
D,3056,,In Stock,3,Inactive
,8187,2.392584276,Out of Stock,25,Inactive
,6147,,,4,Inactive
C,4882,,In Stock,8,Active
,834,4.433580489,Out of Stock,42,Inactive
,6961,,,10,Active
,1398,,In Stock,13,Active
B,4700,1.311550036,Out of Stock,22,Inactive
,7868,3.742643663,,14,Inactive
,8635,,,30,Active
,4601,3.393927341,Out of Stock,7,Inactive
C,873,,In Stock,15,Active
A,3947,,,48,Active
A,552,4.36343691,,47,Active
,1398,3.348483731,Out of Stock,31,Active
B,8686,4.033833309,Out of Stock,11,Active
B,3958,2.367321407,,13,Active
,166,4.983784435,Out of Stock,45,Active
,4374,1.124329678,In Stock,13,Inactive
,9265,,In Stock,47,Active
D,9181,,Out of Stock,14,Active
,9966,,Out of Stock,16,Inactive
,7087,,Out of Stock,47,Active
D,3673,2.919233192,Out of Stock,40,Inactive
C,6764,,,46,Inactive
,8254,,,7,Inactive
,2470,2.790822701,Out of Stock,23,Active
A,7870,,Out of Stock,45,Inactive
,9526,,In Stock,5,Active
,3396,2.132233505,,35,Active
,,2.735325813,In Stock,47,Inactive
B,8533,,,1,Inactive
,6313,4.445257202,Out of Stock,18,Active
A,1188,2.515534993,In Stock,31,Active
,2365,,Out of Stock,31,Inactive
B,288,2.00125054,In Stock,11,Inactive
,5009,3.082572756,Out of Stock,37,Inactive
,9634,,In Stock,48,Inactive
,9485,,,24,Inactive
,7374,,,43,Active
,233,2.647735832,In Stock,7,Inactive
C,5326,2.471724024,,4,Active
A,5257,,,31,Active
A,1853,3.041639608,,15,Active
,5317,1.813418657,,22,Inactive
C,808,,In Stock,9,Inactive
D,2736,2.46595822,In Stock,12,Inactive
,2232,2.41188537,In Stock,2,Inactive
,9229,3.912481119,In Stock,40,Inactive
,,1.701949858,Out of Stock,35,Active
,6409,3.843182174,Out of Stock,35,Active
,6220,,In Stock,44,Inactive
,9759,,In Stock,5,Inactive
,7023,3.505974196,In Stock,,Active
,6842,,In Stock,14,Inactive
,5062,,,17,Inactive
C,3730,1.336815721,,42,Inactive
,2291,,In Stock,29,Active
,5948,,Out of Stock,,Inactive
D,6160,,,1,Active
A,3472,1.56741013,,,Inactive
,993,3.714865606,In Stock,41,Active
,8700,,In Stock,30,Inactive
B,2998,4.085514592,In Stock,7,Inactive
C,,,In Stock,29,Active
,6281,2.716134134,In Stock,41,Inactive
D,1157,2.168744315,,25,Inactive
,7092,,In Stock,25,Inactive
C,,,Out of Stock,34,Active
C,4037,1.479951675,In Stock,43,Active
A,8210,,Out of Stock,10,Active
A,6791,,,33,Active
,219,3.346222321,,25,Active
,4601,,,33,Inactive
A,5393,1.076529755,In Stock,47,Inactive
,2042,,,20,Inactive
C,3441,2.072512581,In Stock,37,Active
,5040,2.846823344,In Stock,39,Inactive
A,3933,3.095869691,,21,Active
,3098,,In Stock,21,Inactive
,5659,,In Stock,23,Active
B,6606,,,45,Inactive
,4650,3.36303516,In Stock,3,Inactive
,4578,,,22,Active
,367,4.611745324,,38,Active
C,5908,,,35,Inactive
,7765,,,35,Inactive
,860,,In Stock,28,Active
,,2.684314027,,30,Active
A,4207,,Out of Stock,15,Inactive
C,4576,,,,Inactive
,4687,2.993865501,,49,Inactive
,2018,4.97436591,,34,Inactive
C,8305,2.937883361,In Stock,31,Active
,4499,4.720944428,In Stock,13,Active
,8795,,In Stock,15,Inactive
,3502,4.624240558,,30,Inactive
,3947,,In Stock,39,Active
,9466,,In Stock,34,Inactive
,8214,1.554900282,In Stock,19,Inactive
C,6046,1.216510866,In Stock,12,Inactive
,6731,,,24,Inactive
A,8200,,In Stock,22,Active
,7809,,In Stock,17,Inactive
A,4330,,,35,Active
,1999,,Out of Stock,29,Inactive
,193,,In Stock,39,Inactive
,4765,,Out of Stock,27,Inactive
D,9415,,,3,Active
C,4025,,,42,Inactive
,3141,,In Stock,13,Active
,6168,,Out of Stock,24,Inactive
,5146,,In Stock,23,Inactive
,,1.495261871,Out of Stock,47,Active
,1525,4.973268896,Out of Stock,46,Inactive
,7785,1.421898336,Out of Stock,39,Active
A,4204,1.856500575,,15,Inactive
D,9107,2.469263463,In Stock,23,Inactive
B,,,In Stock,37,Active
C,5684,,,35,Active
,2809,3.898357755,Out of Stock,28,Active
,8837,,,48,Active
,2006,3.910314087,,27,Inactive
A,7013,,Out of Stock,47,Active
,4089,,Out of Stock,34,Inactive
,9491,,Out of Stock,25,Inactive
,2256,2.417251829,,47,Inactive
A,302,,In Stock,30,Inactive
A,6586,3.97081675,Out of Stock,13,Inactive
,3121,3.249918034,Out of Stock,43,Inactive
,1880,4.177729957,Out of Stock,33,Active
B,6307,4.641240874,,,Active
C,3051,1.052618509,In Stock,41,Active
B,8664,,,10,Active
C,583,4.87028266,,39,Active
,5284,4.724694015,In Stock,45,Active
B,3582,,Out of Stock,43,Active
,9200,3.984146671,In Stock,23,Active
C,9372,2.307738301,Out of Stock,26,Inactive
,6241,,In Stock,44,Active
D,8713,4.836304463,Out of Stock,38,Inactive
,4272,1.004562587,Out of Stock,32,Inactive
,3440,1.804972601,In Stock,,Inactive
,4648,4.242985533,In Stock,44,Inactive
,340,4.886310787,Out of Stock,27,Active
,882,3.046103172,Out of Stock,11,Active
,9787,4.349021263,In Stock,25,Active
C,,4.0738973,Out of Stock,,Active
,4752,2.824110914,Out of Stock,20,Inactive
,3282,,,13,Active
,2619,2.42431572,,,Inactive
,9534,,,32,Inactive
,5870,,Out of Stock,15,Inactive
,1519,2.679388146,Out of Stock,32,Active
,2422,,,28,Active
D,3510,,Out of Stock,28,Active
,699,4.37583811,In Stock,9,Active
,1860,2.326358234,In Stock,48,Inactive
,9630,,In Stock,21,Inactive
A,6253,,In Stock,,Inactive
D,1533,,Out of Stock,,Inactive
C,7259,,Out of Stock,5,Active
,8388,3.936083685,In Stock,49,Active
